Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
SNRPD3,0.96853,0,0.46968,0,2.07877
PFN1,0.96837,0,0.5578,0,0.86475
SRRM1,0.96506,0,0.54305,0,1.79468
HNRNPA2B1,0.96387,0.02256,0.55726,0,-0.25471
YWHAB,0.96113,0.01094,0.43815,0,2.42156
RPL36,0.96013,0,0.55402,0,2.16332
GDI2,0.95726,0,0.54715,0,2.2798
NCL,0.95719,0.01534,0.42665,0,2.71167
RPL8,0.95696,0,0.48138,0,2.9774
C14ORF2,0.95649,0,0.47916,0.00065,2.62449
CSDE1,0.95492,0.00074,0.54035,0,2.44736
STOML2,0.95341,0.0299,0.45083,0.00065,2.15219
ARF1,0.95288,0.00068,0.51529,0,2.81671
TARDBP,0.95239,0.03292,0.57688,0,1.29337
RPS5,0.95157,0,0.53032,0,3.05332
THRAP3,0.95028,0,0.61155,0,2.31209
HNRNPM,0.94976,0,0.61796,0,1.99171
POLR2E,0.94881,0.00072,0.64859,0,1.07788
SRSF3,0.94768,0.04894,0.41824,0,2.38147
CKS1B,0.94721,0,0.54752,0,3.06605
COX6A1,0.94656,0.01354,0.46601,0,3.28281
RPL15,0.94652,0,0.4723,0,3.51955
NPM1,0.94633,0,0.52423,0.00065,3.08808
RPS19,0.94529,0.02741,0.45731,0,3.20024
EIF3I,0.94475,0.02782,0.54293,0,2.79159
DHX9,0.94365,0.05083,0.53828,0.00131,0.10011
ETF1,0.94339,0.03655,0.52161,0,2.74473
C9ORF78,0.9433,0.04655,0.55341,0.00131,0.58797
RSL1D1,0.94244,0,0.56825,0,3.29402
ZC3H15,0.942,0.0261,0.53637,0,3.0692
YWHAE,0.94181,0,0.56099,0,3.35946
LRRC59,0.94171,0.05435,0.56689,0,1.20858
MAPRE1,0.94052,0.04676,0.50783,0.00065,2.22238
COX7A2L,0.93939,0.0569,0.44921,0.00197,1.26599
RPS20,0.93863,0.00499,0.53581,0,3.44839
COX5B,0.93699,0.03707,0.38287,0,3.50027
RPS6,0.93657,0.00613,0.37549,0,3.89637
HSPA8,0.93647,0.06329,0.4878,0,2.0816
NASP,0.93605,0,0.55254,0,3.66514
RHOA,0.93605,0.00183,0.55017,0,3.51031
SNRPF,0.93513,0.06757,0.39751,0.00065,1.66258
CSNK2B,0.93486,0,0.5815,0,3.56687
MRPL20,0.9348,0.02982,0.46879,0,3.61327
PSMA6,0.93474,0,0.61954,0,3.157
YME1L1,0.93455,0.01849,0.63799,0,2.67511
HNRNPU,0.93391,0.00238,0.66023,0,2.59743
SF3A3,0.93326,0.03787,0.52793,0.00065,3.03032
EEF1B2,0.93274,0.02545,0.48371,0,3.72547
EIF4G2,0.9327,0,0.60392,0,3.49437
HNRNPK,0.93239,0,0.68853,0,2.27649
RPL7A,0.93162,0,0.54993,0.00065,3.63982
SF3B5,0.93119,0.02685,0.57317,0.00197,2.80495
SRSF7,0.93114,0.05728,0.52046,0,2.70644
WDR43,0.93068,0.02507,0.5842,0,3.34814
HIGD2A,0.93063,0.03728,0.55804,0.00526,1.89498
DDX18,0.93058,0.04723,0.55776,0.00065,2.60392
NACA,0.92937,0,0.51298,0,4.06126
RPS25,0.92935,0.01826,0.48517,0,3.92359
EIF3L,0.92933,0,0.57802,0.00065,3.59477
PTMA,0.92901,0.00858,0.53748,0,3.83435
TCOF1,0.92898,0.04793,0.6274,0.00197,0.74547
CHCHD2,0.92879,0.05187,0.40594,0.00065,3.22124
SNRPG,0.92741,0.04873,0.39671,0.00065,3.40283
RAB7A,0.92673,0,0.64901,0,3.39152
CKAP5,0.92637,0.05746,0.58913,0.00065,1.93359
SRSF10.UID_1003,0.92623,0.02886,0.58061,0.00065,3.28478
RBM17,0.92614,0.01979,0.55475,0,3.78178
MCM3,0.92541,0.05563,0.61832,0.00065,1.66339
HSPA14,0.92492,0.05977,0.61275,0.00197,-0.20956
EBNA1BP2,0.92487,0.03006,0.57389,0.00065,3.35792
RPL30,0.92481,0,0.65112,0,3.46095
RPS24,0.92458,0,0.54738,0,4.10352
SZRD1,0.92453,0.0464,0.54131,0.00197,2.88739
NDUFA13,0.92423,0,0.64043,0.00065,3.34993
RPL10A,0.92404,0.03938,0.3889,0,3.96725
MRTO4,0.92375,0,0.67738,0,3.24025
RPS13,0.92348,0,0.57915,0,4.00659
SF3B1,0.92343,0.03438,0.55721,0.00131,3.30653
SRSF11,0.92337,0,0.59466,0.00065,3.73813
EIF3F,0.92236,0,0.6184,0.00197,3.40145
PSME3,0.92236,0.07157,0.49973,0.00131,1.7467
STRAP,0.92211,0,0.67242,0,3.37295
FAM96B,0.92103,0.02934,0.56568,0.00131,3.47235
CBX3,0.92084,0,0.6528,0,3.61982
NAA50,0.92071,0.06904,0.52216,0,2.67908
SF3B2,0.92025,0,0.60828,0.00065,3.77748
RAB5C,0.92004,0.07966,0.50521,0.00065,0.96437
NACA2,0.91998,0.02476,0.43455,0,4.24246
SMC2,0.91852,0.0506,0.61545,0.00197,2.30421
SAFB,0.91814,0.05602,0.60531,0.00328,1.78243
TRA2B,0.91801,0,0.61989,0,3.88586
IMMT,0.91746,0.06183,0.51795,0.00262,2.57263
RPL28,0.91736,0,0.74718,0,2.39991
SRSF1,0.91722,0.05822,0.50597,0,3.51396
RBMX,0.91682,0.01208,0.57604,0,4.0706
SEC61G,0.91676,0.04755,0.59861,0,3.40011
RPA3,0.91665,0.04146,0.59757,0.00658,2.31236
RANBP1,0.91603,0,0.68284,0,3.44553
PLEKHB2,0.91595,0.03481,0.54512,0,3.97722
MRPS7,0.91532,0.08371,0.44289,0,2.22645
SARNP,0.91508,0.03426,0.53952,0.00526,3.33039
IMP4,0.91436,0.02083,0.67007,0.00065,3.18922
TMBIM6,0.91409,0.02739,0.60435,0,3.89077
LUC7L3,0.91407,0.01828,0.63475,0,3.78565
RPL18A,0.91329,0.04896,0.46616,0.00197,3.67673
U2AF1,0.91322,0.0672,0.47873,0,3.45439
LMAN2,0.91302,0.03311,0.60068,0.00197,3.44309
YBX1,0.91247,0.00736,0.74953,0,2.34336
SON,0.91203,0,0.70504,0,3.47761
RPS14P3,0.91182,0,0.54816,0.00065,4.24248
SCAF11,0.91166,0.05317,0.6248,0.00262,2.44303
DRG1,0.91165,0.02824,0.5655,0.00197,3.80271
NDUFA6,0.91153,0,0.53253,0,4.44215
DAP3,0.91142,0.04661,0.57968,0.00197,3.34324
RPS10,0.911,0,0.65074,0.00725,3.09751
AHSA1,0.91099,0.06437,0.51788,0,3.51873
PSMD8,0.91084,0,0.62423,0.00131,3.83722
NIFK,0.91051,0.07129,0.51617,0.00394,2.08808
SRP14,0.91029,0.03384,0.50339,0,4.29766
